scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_noninferiority,t_noninferiority,df_noninferiority,p_upper_test,t_upper_test,df_upper_test,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci,retained_for_plot
metadata_qualt5_ATTFUS_ck5,dev.small,0.45,45.0,BM25,RR@10,6980,0.1842761631873379,0.1905703938691045,0.0062942306817665,-0.05,-0.0092138081593668,1000000.0,0.0002771532032758,0.0123113081602571,2.237286775464769e-07,5.052364712244172,6979.0,0.0,-325790045.5499615,6979.0,True,True,True,True
metadata_qualt5_ATTFUS_ck5,dev.small,0.45,45.0,BM25,nDCG@10,6980,0.2299347532023317,0.2284786998505786,-0.001456053351753,-0.05,-0.0114967376601165,1000000.0,-0.0074914706448359,0.0045793639413298,0.000557342467175,3.2612149643098194,6979.0,0.0,-324800070.284237,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.663323782234957,-0.0144340974212034,-0.05,-0.033887893982808,1000000.0,-0.0205804178251525,-0.0082877770172543,2.8989295502690943e-10,6.204582887663833,6979.0,0.0,-318939439.7938344,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.15,15.0,BM25,RR@10,6980,0.1842761631873379,0.1981535111656888,0.0138773479783508,-0.05,-0.0092138081593668,1000000.0,0.0094099630882583,0.0183447328684433,2.9021810160734336e-24,10.132479266570368,6979.0,0.0,-438803456.4197395,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.2424793694626738,0.0125446162603421,-0.05,-0.0114967376601165,1000000.0,0.0083474084174587,0.0167418241032254,2.6162105181353334e-29,11.228503093807433,6979.0,0.0,-467049526.0000701,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.15,15.0,SPLADE,R@100,6980,0.8166905444126075,0.793564947468959,-0.0231255969436485,-0.05,-0.0408345272206303,1000000.0,-0.0273320451813469,-0.01891914870595,9.170760775302059e-17,8.252778628098714,6979.0,0.0,-466023564.9397832,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.15,15.0,SPLADE,RR@10,6980,0.2969339837176513,0.2919441601855642,-0.0049898235320871,-0.05,-0.0148466991858825,1000000.0,-0.0072585659774258,-0.0027210810867483,9.9384512985167e-18,8.516820584313589,6979.0,0.0,-864048703.2553352,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.3460788967622563,-0.0064746322441379,-0.05,-0.0176276764503197,1000000.0,-0.008801778906746,-0.0041474855815297,3.7995674352935985e-21,9.394919991039666,6979.0,0.0,-842363741.9693013,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.15,15.0,TAS-B,R@100,6980,0.8869149952244508,0.8599331423113658,-0.026981852913085,-0.05,-0.0443457497612225,1000000.0,-0.0312545102701335,-0.0227091955560364,9.45565657346128e-16,7.966591485244393,6979.0,0.0,-458802063.2622159,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.3408144016919088,-0.006483319688907,-0.05,-0.0173648860690407,1000000.0,-0.0092746633503121,-0.003691976027502,1.2134207610093356e-14,7.641903052142911,6979.0,0.0,-702279693.4492357,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.4019206717436282,-0.0087367921120522,-0.05,-0.020532873192784,1000000.0,-0.0115000663610861,-0.0059735178630183,3.497349643647721e-17,8.368298745992789,6979.0,0.0,-709413470.6122047,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.3,30.0,BM25,RR@10,6980,0.1842761631873379,0.2011277686814936,0.0168516054941556,-0.05,-0.0092138081593668,1000000.0,0.0116378012161497,0.0220654097721614,7.850644429661028e-23,9.800163341562143,6979.0,0.0,-375983412.60504967,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.3,30.0,BM25,nDCG@10,6980,0.2299347532023317,0.2429362209649029,0.0130014677625712,-0.05,-0.0114967376601165,1000000.0,0.0079669765156858,0.0180359590094566,9.739795219777187e-22,9.538983524299042,6979.0,0.0,-389374782.1807464,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.3,30.0,SPLADE,RR@10,6980,0.2969339837176513,0.2865290285168508,-0.0104049552008004,-0.05,-0.0148466991858825,1000000.0,-0.0137567865168625,-0.0070531238847384,0.0047019047576606,2.5977346393441816,6979.0,0.0,-584845654.1165287,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.3,30.0,TAS-B,RR@10,6980,0.3472977213808159,0.3331676672579251,-0.0141300541228907,-0.05,-0.0173648860690407,1000000.0,-0.0179278487825619,-0.0103322594632196,0.0475098065045084,1.6697200444439977,6979.0,0.0,-516169030.0556374,6979.0,True,True,False,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.45,45.0,BM25,RR@10,6980,0.1842761631873379,0.1938280574885159,0.0095518943011779,-0.05,-0.0092138081593668,1000000.0,0.0035484220873166,0.0155553665150392,4.705341073862457e-10,6.127534116944859,6979.0,0.0,-326528360.5182657,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.45,45.0,BM25,nDCG@10,6980,0.2299347532023317,0.2329736785170976,0.0030389253147659,-0.05,-0.0114967376601165,1000000.0,-0.0029976826139251,0.0090755332434569,1.2007233961243876e-06,4.720253162099667,6979.0,0.0,-324736006.6005745,6979.0,True,True,True,True
metadata_qualt5_CONCAT-V2-FA-ck1,dev.small,0.6,60.0,BM25,RR@10,6980,0.1842761631873379,0.1840099831718742,-0.0002661800154636,-0.05,-0.0092138081593668,1000000.0,-0.0070950307716971,0.0065626707407697,0.0051169273692294,2.5685245574288325,6979.0,0.0,-287062058.99522954,6979.0,True,True,True,True
qualt5,dev.small,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.6546561604584528,-0.0231017191977077,-0.05,-0.033887893982808,1000000.0,-0.0298909505176499,-0.0163124878777655,0.0009254228974238,3.114370409246004,6979.0,0.0,-288737253.3120283,6979.0,True,True,True,True
qualt5,dev.small,0.15,15.0,BM25,RR@10,6980,0.1842761631873379,0.1959738709237276,0.0116977077363896,-0.05,-0.0092138081593668,1000000.0,0.006909267336812,0.0164861481359673,6.81900302340705e-18,8.560809775275395,6979.0,0.0,-409382548.72621286,6979.0,True,True,True,True
