scorer,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
tasb,0.15,15.0,BM25,nDCG@10,0.2086875073373394,0.2299347532023317,False
tasb,0.15,15.0,BM25,R@100,0.58932664756447,0.6777578796561604,False
tasb,0.15,15.0,SPLADE,RR@10,0.2696293264201566,0.2969339837176513,False
tasb,0.15,15.0,SPLADE,nDCG@10,0.318303467423054,0.3525535290063942,False
tasb,0.15,15.0,SPLADE,R@100,0.7199617956064949,0.8166905444126075,False
tasb,0.15,15.0,TAS-B,RR@10,0.3149743029972246,0.3472977213808159,False
tasb,0.15,15.0,TAS-B,nDCG@10,0.3694601871359594,0.4106574638556805,False
tasb,0.15,15.0,TAS-B,R@100,0.7807306590257881,0.8869149952244508,False
tasb,0.3,30.0,BM25,RR@10,0.1509004184290721,0.1842761631873379,False
tasb,0.3,30.0,BM25,nDCG@10,0.1839527826693738,0.2299347532023317,False
tasb,0.3,30.0,BM25,R@100,0.5029130850047756,0.6777578796561604,False
tasb,0.3,30.0,SPLADE,RR@10,0.238507129212716,0.2969339837176513,False
tasb,0.3,30.0,SPLADE,nDCG@10,0.2796844460272098,0.3525535290063942,False
tasb,0.3,30.0,SPLADE,R@100,0.6138490926456543,0.8166905444126075,False
tasb,0.3,30.0,TAS-B,RR@10,0.2776319529722098,0.3472977213808159,False
tasb,0.3,30.0,TAS-B,nDCG@10,0.3228209101497543,0.4106574638556805,False
tasb,0.3,30.0,TAS-B,R@100,0.6616284622731616,0.8869149952244508,False
tasb,0.45,45.0,BM25,RR@10,0.1299690157820534,0.1842761631873379,False
tasb,0.45,45.0,BM25,nDCG@10,0.1570652628699253,0.2299347532023317,False
tasb,0.45,45.0,BM25,R@100,0.4180754536771729,0.6777578796561604,False
tasb,0.45,45.0,SPLADE,RR@10,0.2068003820439348,0.2969339837176513,False
tasb,0.45,45.0,SPLADE,nDCG@10,0.2400052763682546,0.3525535290063942,False
tasb,0.45,45.0,SPLADE,R@100,0.5069961795606496,0.8166905444126075,False
tasb,0.45,45.0,TAS-B,RR@10,0.2378363919588844,0.3472977213808159,False
tasb,0.45,45.0,TAS-B,nDCG@10,0.2745094920686876,0.4106574638556805,False
tasb,0.45,45.0,TAS-B,R@100,0.5404966571155684,0.8869149952244508,False
tasb,0.6,60.0,BM25,RR@10,0.1028268408605085,0.1842761631873379,False
tasb,0.6,60.0,BM25,nDCG@10,0.1226149118550953,0.2299347532023317,False
tasb,0.6,60.0,BM25,R@100,0.3197349570200573,0.6777578796561604,False
tasb,0.6,60.0,SPLADE,RR@10,0.1605806271887934,0.2969339837176513,False
tasb,0.6,60.0,SPLADE,nDCG@10,0.1857799714301282,0.3525535290063942,False
tasb,0.6,60.0,SPLADE,R@100,0.3800262655205348,0.8166905444126075,False
tasb,0.6,60.0,TAS-B,RR@10,0.1851076204120616,0.3472977213808159,False
tasb,0.6,60.0,TAS-B,nDCG@10,0.2123398122622578,0.4106574638556805,False
tasb,0.6,60.0,TAS-B,R@100,0.4037249283667621,0.8869149952244508,False
