scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
metadata_qualt5_concat_v1,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9396170839469808,0.9354933726067748,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6757949144549205,0.697936757957595,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4855796169301493,0.553444309695361,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.8051832760595646,0.7986786123384061,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4803786526726964,0.4873823836823968,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.45,45.0,BM25,R@100,0.3924362481246188,0.4769567428702133,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.86062019309442,0.8618106692848961,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5639732125218386,0.5903063303445052,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.45,45.0,SPLADE,R@100,0.3752224327828988,0.4689618970534333,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9447717231222386,0.9354933726067748,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.657502449550879,0.697936757957595,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.4290581741678836,0.553444309695361,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.8108247422680411,0.7986786123384061,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.455710593306321,0.4873823836823968,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.6,60.0,BM25,R@100,0.336301569409601,0.4769567428702133,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.8317869415807561,0.8618106692848961,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5245070244838613,0.5903063303445052,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.3125511516525888,0.4689618970534333,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.920274914089347,0.9354933726067748,True
metadata_qualt5_concat_v1,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.607405477518904,0.697936757957595,False
metadata_qualt5_concat_v1,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.3521527340718415,0.553444309695361,False
metadata_qualt5_mp,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.8018327605956472,0.7986786123384061,False
metadata_qualt5_mp,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5025273691559525,0.4873823836823968,True
metadata_qualt5_mp,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4639480454338793,0.4769567428702133,False
metadata_qualt5_mp,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8584601538209787,0.8618106692848961,True
metadata_qualt5_mp,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.584505580527258,0.5903063303445052,True
metadata_qualt5_mp,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.450282500015548,0.4689618970534333,False
metadata_qualt5_mp,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9396170839469808,0.9354933726067748,True
metadata_qualt5_mp,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6970557769860797,0.697936757957595,True
metadata_qualt5_mp,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.530590100922313,0.553444309695361,False
metadata_qualt5_mp,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.8046514482081492,0.7986786123384061,False
metadata_qualt5_mp,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.494459568670018,0.4873823836823968,True
metadata_qualt5_mp,test-2019_test-2020,0.3,30.0,BM25,R@100,0.433479588212996,0.4769567428702133,False
metadata_qualt5_mp,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.857601047291769,0.8618106692848961,True
metadata_qualt5_mp,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5718505463027964,0.5903063303445052,False
metadata_qualt5_mp,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.4180190422111113,0.4689618970534333,False
metadata_qualt5_mp,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9396170839469808,0.9354933726067748,True
metadata_qualt5_mp,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.674720134095912,0.697936757957595,False
metadata_qualt5_mp,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4873522645309898,0.553444309695361,False
metadata_qualt5_mp,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.8041237113402062,0.7986786123384061,False
metadata_qualt5_mp,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4831907037262533,0.4873823836823968,False
metadata_qualt5_mp,test-2019_test-2020,0.45,45.0,BM25,R@100,0.3998017083461345,0.4769567428702133,False
metadata_qualt5_mp,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8610947471772216,0.8618106692848961,True
metadata_qualt5_mp,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5606301345616768,0.5903063303445052,False
metadata_qualt5_mp,test-2019_test-2020,0.45,45.0,SPLADE,R@100,0.3814494748983486,0.4689618970534333,False
metadata_qualt5_mp,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9430535100638194,0.9354933726067748,True
metadata_qualt5_mp,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6621518814768699,0.697936757957595,False
metadata_qualt5_mp,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.4379969235746692,0.553444309695361,False
metadata_qualt5_mp,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.8091065292096219,0.7986786123384061,False
metadata_qualt5_mp,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4683458407145476,0.4873823836823968,False
