scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,mean_full,mean_pruned,mean_diff_pruned_minus_full,p_noninferiority,lower_bound_absolute,retained_for_plot,config_id
itn,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8618106692848961,0.8512600229095074,-0.0105506463753886,0.0081273782441068,-0.0430905334642448,True,itn | test-2019_test-2020 | SPLADE | RR@10 | thr=0.3
itn,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9354933726067748,0.9298969072164948,-0.0055964653902798,2.9811004798132887e-22,-0.0467746686303387,True,itn | test-2019_test-2020 | TAS-B | RR@10 | thr=0.3
itn,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8618106692848961,0.8571142202585502,-0.0046964490263459,0.0154192184340494,-0.0430905334642448,True,itn | test-2019_test-2020 | SPLADE | RR@10 | thr=0.45
itn,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9354933726067748,0.923981345115366,-0.0115120274914089,0.0001295983906349,-0.0467746686303387,True,itn | test-2019_test-2020 | TAS-B | RR@10 | thr=0.45
metadata_qualt5_CONCAT,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.7986786123384061,0.8077605956471936,0.0090819833087874,0.0393185286217733,-0.0399339306169203,True,metadata_qualt5_CONCAT | test-2019_test-2020 | BM25 | RR@10 | thr=0.15
metadata_qualt5_CONCAT,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.4873823836823968,0.5011157823513975,0.0137333986690009,0.0014963533562002,-0.0243691191841198,True,metadata_qualt5_CONCAT | test-2019_test-2020 | BM25 | nDCG@10 | thr=0.15
metadata_qualt5_CONCAT,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8618106692848961,0.8584601538209785,-0.0033505154639175,1.4258040647179432e-09,-0.0430905334642448,True,metadata_qualt5_CONCAT | test-2019_test-2020 | SPLADE | RR@10 | thr=0.15
metadata_qualt5_CONCAT,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5903063303445052,0.5844754073693023,-0.0058309229752028,3.0586761145937646e-06,-0.0295153165172252,True,metadata_qualt5_CONCAT | test-2019_test-2020 | SPLADE | nDCG@10 | thr=0.15
metadata_qualt5_CONCAT,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9354933726067748,0.9396170839469808,0.0041237113402061,3.9356384821734684e-16,-0.0467746686303387,True,metadata_qualt5_CONCAT | test-2019_test-2020 | TAS-B | RR@10 | thr=0.15
metadata_qualt5_CONCAT,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.697936757957595,0.6952674598940813,-0.0026692980635138,4.980487012774662e-09,-0.0348968378978797,True,metadata_qualt5_CONCAT | test-2019_test-2020 | TAS-B | nDCG@10 | thr=0.15
metadata_qualt5_CONCAT,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4873823836823968,0.4942041072410183,0.0068217235586216,0.0220299464969578,-0.0243691191841198,True,metadata_qualt5_CONCAT | test-2019_test-2020 | BM25 | nDCG@10 | thr=0.3
metadata_qualt5_CONCAT,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8618106692848961,0.8679103256422844,0.0060996563573883,2.8767165620165825e-08,-0.0430905334642448,True,metadata_qualt5_CONCAT | test-2019_test-2020 | SPLADE | RR@10 | thr=0.3
metadata_qualt5_CONCAT,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5903063303445052,0.5744519310216225,-0.0158543993228826,0.0440837501089359,-0.0295153165172252,True,metadata_qualt5_CONCAT | test-2019_test-2020 | SPLADE | nDCG@10 | thr=0.3
