source_file,scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.15.csv,metadata_qualt5_attfus_2s,dev.small,0.15,15.0,BM25,nDCG@10,0.2415346907380025,0.229934753202334,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.15.csv,metadata_qualt5_attfus_2s,dev.small,0.15,15.0,BM25,R@100,0.6610792741165233,0.6777578796561604,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.15.csv,metadata_qualt5_attfus_2s,dev.small,0.15,15.0,SPLADE,RR@10,0.2916317596761708,0.2969339837176502,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.15.csv,metadata_qualt5_attfus_2s,dev.small,0.15,15.0,SPLADE,nDCG@10,0.3457355097048162,0.3525535290063931,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.15.csv,metadata_qualt5_attfus_2s,dev.small,0.15,15.0,SPLADE,R@100,0.7924665711556831,0.8166905444126076,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.15.csv,metadata_qualt5_attfus_2s,dev.small,0.15,15.0,TAS-B,RR@10,0.3408383362896254,0.3472977213808154,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.15.csv,metadata_qualt5_attfus_2s,dev.small,0.15,15.0,TAS-B,nDCG@10,0.4017949355905385,0.4106574638556753,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.15.csv,metadata_qualt5_attfus_2s,dev.small,0.15,15.0,TAS-B,R@100,0.8583333333333335,0.8869149952244509,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.3.csv,metadata_qualt5_attfus_2s,dev.small,0.3,30.0,BM25,RR@10,0.1985633556192293,0.1842761631873375,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.3.csv,metadata_qualt5_attfus_2s,dev.small,0.3,30.0,BM25,nDCG@10,0.2405188414064538,0.229934753202334,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.3.csv,metadata_qualt5_attfus_2s,dev.small,0.3,30.0,BM25,R@100,0.6360315186246418,0.6777578796561604,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.3.csv,metadata_qualt5_attfus_2s,dev.small,0.3,30.0,SPLADE,RR@10,0.2856532837585836,0.2969339837176502,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.3.csv,metadata_qualt5_attfus_2s,dev.small,0.3,30.0,SPLADE,nDCG@10,0.3361014804710598,0.3525535290063931,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.3.csv,metadata_qualt5_attfus_2s,dev.small,0.3,30.0,SPLADE,R@100,0.7501790830945558,0.8166905444126076,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.3.csv,metadata_qualt5_attfus_2s,dev.small,0.3,30.0,TAS-B,RR@10,0.3321972642925359,0.3472977213808154,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.3.csv,metadata_qualt5_attfus_2s,dev.small,0.3,30.0,TAS-B,nDCG@10,0.3886899468847072,0.4106574638556753,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.3.csv,metadata_qualt5_attfus_2s,dev.small,0.3,30.0,TAS-B,R@100,0.8105897803247374,0.8869149952244509,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.45.csv,metadata_qualt5_attfus_2s,dev.small,0.45,45.0,BM25,RR@10,0.1922868626915903,0.1842761631873375,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.45.csv,metadata_qualt5_attfus_2s,dev.small,0.45,45.0,BM25,nDCG@10,0.2303807887649098,0.229934753202334,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.45.csv,metadata_qualt5_attfus_2s,dev.small,0.45,45.0,BM25,R@100,0.5829512893982808,0.6777578796561604,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.45.csv,metadata_qualt5_attfus_2s,dev.small,0.45,45.0,SPLADE,RR@10,0.2693810547141482,0.2969339837176502,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.45.csv,metadata_qualt5_attfus_2s,dev.small,0.45,45.0,SPLADE,nDCG@10,0.3151130124800244,0.3525535290063931,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.45.csv,metadata_qualt5_attfus_2s,dev.small,0.45,45.0,SPLADE,R@100,0.6787129894937917,0.8166905444126076,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.45.csv,metadata_qualt5_attfus_2s,dev.small,0.45,45.0,TAS-B,RR@10,0.3113587005958054,0.3472977213808154,False
