scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_noninferiority,t_noninferiority,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci,retained_for_plot
itn,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,97,0.697936757957595,0.6750917153280939,-0.0228450426295011,-0.05,-0.0348968378978797,1000000.0,-0.0355752424557815,-0.0101148428032208,0.0316251269796488,1.879202593829597,True,True,False,True
itn,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,97,0.8618106692848961,0.8512600229095074,-0.0105506463753886,-0.05,-0.0430905334642448,1000000.0,-0.0369546306641599,0.0158533379133826,0.0081273782441068,2.446265861392688,True,True,True,True
itn,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9298969072164948,-0.0055964653902798,-0.05,-0.0467746686303387,1000000.0,-0.0121112539971138,0.0009183232165542,2.9811004798132887e-22,12.54654484457241,True,True,True,True
itn,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,97,0.8618106692848961,0.8571142202585502,-0.0046964490263459,-0.05,-0.0430905334642448,1000000.0,-0.0394733191192629,0.030080421066571,0.0154192184340494,2.191446644312839,True,True,True,True
itn,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,97,0.9354933726067748,0.923981345115366,-0.0115120274914089,-0.05,-0.0467746686303387,1000000.0,-0.0299604042749724,0.0069363492921546,0.0001295983906349,3.7941435317109424,True,True,True,True
metadata_qualt5,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,97,0.4873823836823968,0.5025273691559526,0.0151449854735558,-0.05,-0.0243691191841198,1000000.0,-0.0098291195908946,0.0401190905380064,0.0011205359298366,3.1406481884842194,True,True,True,True
metadata_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8584601538209785,-0.0033505154639175,-0.05,-0.0430905334642448,1000000.0,-0.0153944850119729,0.0086934540841379,1.4258040647179432e-09,6.549610737212967,True,True,True,True
metadata_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,97,0.5903063303445052,0.584505580527258,-0.0058007498172472,-0.05,-0.0295153165172252,1000000.0,-0.0155614885815652,0.0039599889470708,2.6573343682164564e-06,4.8226926251008,True,True,True,True
metadata_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,9.663195744052905,True,True,True,True
metadata_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,97,0.697936757957595,0.6970557769860797,-0.0008809809715154,-0.05,-0.0348968378978797,1000000.0,-0.0112345058381614,0.0094725438951305,1.6233467179455187e-09,6.52154152443641,True,True,True,True
metadata_qualt5,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,97,0.4873823836823968,0.4944595686700182,0.0070771849876214,-0.05,-0.0243691191841198,1000000.0,-0.0238012711621039,0.0379556411373468,0.0230065352819857,2.0214877367531185,True,True,True,True
metadata_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,97,0.8618106692848961,0.857601047291769,-0.0042096219931271,-0.05,-0.0430905334642448,1000000.0,-0.026813015498203,0.0183937715119487,0.0004689145510139,3.414443024710581,True,True,True,True
metadata_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,9.663195744052905,True,True,True,True
metadata_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,97,0.8618106692848961,0.8610947471772212,-0.0007159221076746,-0.05,-0.0430905334642448,1000000.0,-0.0254354036974477,0.0240035594820983,0.0004872507638511,3.40269833105299,True,True,True,True
metadata_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,97,0.9354933726067748,0.9430535100638194,0.0075601374570446,-0.05,-0.0467746686303387,1000000.0,-0.009116001272297,0.0242362761863864,2.082434192670866e-09,6.467548597671883,True,True,True,True
perplexity,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8104810996563573,0.0118024873179512,-0.05,-0.0399339306169203,1000000.0,-0.0325690612354368,0.0561740358713393,0.0113871619720105,2.3144555753326377,True,True,True,True
perplexity,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8700867288496155,0.0082760595647193,-0.05,-0.0430905334642448,1000000.0,-0.0102265664698102,0.0267786855992489,1.4987607986924618e-07,5.510670815537814,True,True,True,True
perplexity,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,97,0.5903063303445052,0.5752992462284737,-0.0150070841160314,-0.05,-0.0295153165172252,1000000.0,-0.0289410012614644,-0.0010731669705985,0.0207225747337873,2.0667995513275232,True,True,True,True
perplexity,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9336033382425136,-0.0018900343642611,-0.05,-0.0467746686303387,1000000.0,-0.0045401368280733,0.0007600680995509,3.3324773277951874e-55,33.61956605964934,True,True,True,True
perplexity,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,97,0.697936757957595,0.6781974951290229,-0.0197392628285722,-0.05,-0.0348968378978797,1000000.0,-0.0336403544217715,-0.0058381712353728,0.0164569096969239,2.1644018753281555,True,True,True,True
perplexity,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,97,0.8618106692848961,0.8686548846342661,0.0068442153493699,-0.05,-0.0430905334642448,1000000.0,-0.0242107414575849,0.0378991721563249,0.0009559187625287,3.1917511143686097,True,True,True,True
perplexity,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9344624447717232,-0.0010309278350515,-0.05,-0.0467746686303387,1000000.0,-0.0264984261991653,0.0244365705290622,0.0002842511798371,3.5653524555569795,True,True,True,True
perplexity,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,97,0.9354933726067748,0.9186712485681556,-0.0168221240386188,-0.05,-0.0467746686303387,1000000.0,-0.051148551929691,0.0175043038524532,0.0432376389168249,1.7320570405305913,True,True,False,True
qualt5,dev.small,0.15,15.0,BM25,RR@10,6980,0.1842761631873379,0.1959738709237276,0.0116977077363896,-0.05,-0.0092138081593668,1000000.0,0.006909267336812,0.0164861481359673,6.81900302340705e-18,8.560809775275395,True,True,True,True
