scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
finetuned_qualt5,dev.small,0.3,30.0,SPLADE,nDCG@10,0.3376714878794095,0.3525535290063942,False
finetuned_qualt5,dev.small,0.3,30.0,SPLADE,R@100,0.7534264565425024,0.8166905444126075,False
finetuned_qualt5,dev.small,0.3,30.0,TAS-B,RR@10,0.3326043230090497,0.3472977213808159,False
finetuned_qualt5,dev.small,0.3,30.0,TAS-B,nDCG@10,0.3905147210561426,0.4106574638556805,False
finetuned_qualt5,dev.small,0.3,30.0,TAS-B,R@100,0.8148638968481375,0.8869149952244508,False
finetuned_qualt5,dev.small,0.45,45.0,BM25,RR@10,0.1960431732387317,0.1842761631873379,True
finetuned_qualt5,dev.small,0.45,45.0,BM25,nDCG@10,0.2349275573261909,0.2299347532023317,True
finetuned_qualt5,dev.small,0.45,45.0,BM25,R@100,0.591893505253104,0.6777578796561604,False
finetuned_qualt5,dev.small,0.45,45.0,SPLADE,RR@10,0.2732224723700359,0.2969339837176513,False
finetuned_qualt5,dev.small,0.45,45.0,SPLADE,nDCG@10,0.3193675608021902,0.3525535290063942,False
finetuned_qualt5,dev.small,0.45,45.0,SPLADE,R@100,0.6890401146131805,0.8166905444126075,False
finetuned_qualt5,dev.small,0.45,45.0,TAS-B,RR@10,0.3154203620321085,0.3472977213808159,False
finetuned_qualt5,dev.small,0.45,45.0,TAS-B,nDCG@10,0.3671228631329101,0.4106574638556805,False
finetuned_qualt5,dev.small,0.45,45.0,TAS-B,R@100,0.7405682903533906,0.8869149952244508,False
finetuned_qualt5,dev.small,0.6,60.0,BM25,RR@10,0.1884257174694139,0.1842761631873379,True
finetuned_qualt5,dev.small,0.6,60.0,BM25,nDCG@10,0.2221454996087394,0.2299347532023317,False
finetuned_qualt5,dev.small,0.6,60.0,BM25,R@100,0.5248567335243552,0.6777578796561604,False
finetuned_qualt5,dev.small,0.6,60.0,SPLADE,RR@10,0.2511738186200931,0.2969339837176513,False
finetuned_qualt5,dev.small,0.6,60.0,SPLADE,nDCG@10,0.2909566052883653,0.3525535290063942,False
finetuned_qualt5,dev.small,0.6,60.0,SPLADE,R@100,0.5978032473734478,0.8166905444126075,False
finetuned_qualt5,dev.small,0.6,60.0,TAS-B,RR@10,0.2909970095965785,0.3472977213808159,False
finetuned_qualt5,dev.small,0.6,60.0,TAS-B,nDCG@10,0.3347545705350044,0.4106574638556805,False
finetuned_qualt5,dev.small,0.6,60.0,TAS-B,R@100,0.6365329512893982,0.8869149952244508,False
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.8098469972181314,0.7986786123384061,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5054054718443595,0.4873823836823968,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4655113733661825,0.4769567428702133,False
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8653330060546557,0.8618106692848961,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5853861580462856,0.5903063303445052,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4520200962103824,0.4689618970534333,False
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9396170839469808,0.9354933726067748,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6937247182640282,0.697936757957595,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.5310193453917942,0.553444309695361,False
finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.8072164948453608,0.7986786123384061,False
finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4996544494301745,0.4873823836823968,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,R@100,0.4412626946380595,0.4769567428702133,False
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8618965799378171,0.8618106692848961,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5782938777862627,0.5903063303445052,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.4210102864246919,0.4689618970534333,False
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9396170839469808,0.9354933726067748,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6795804993247979,0.697936757957595,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4922945227505915,0.553444309695361,False
finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.8228522336769759,0.7986786123384061,True
finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4894735090426124,0.4873823836823968,False
finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,R@100,0.4007008853882154,0.4769567428702133,False
finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8533055146457209,0.8618106692848961,True
finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5662914699082666,0.5903063303445052,False
finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,R@100,0.3829541555486036,0.4689618970534333,False
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.937039764359352,0.9354933726067748,True
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6614008480746695,0.697936757957595,False
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.4382103987077241,0.553444309695361,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.8263745704467353,0.7986786123384061,True
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4698592256263194,0.4873823836823968,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,R@100,0.3354455449212889,0.4769567428702133,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.827348224513173,0.8618106692848961,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5212256099225002,0.5903063303445052,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.3135840677495256,0.4689618970534333,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.8968335787923416,0.9354933726067748,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.602788613110302,0.697936757957595,False
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.3568177898464305,0.553444309695361,False
itn,dev.small,0.15,15.0,BM25,RR@10,0.180929299131305,0.1842761631873379,True
itn,dev.small,0.15,15.0,BM25,nDCG@10,0.2226308898856395,0.2299347532023317,False
itn,dev.small,0.15,15.0,BM25,R@100,0.6143505253104108,0.6777578796561604,False
itn,dev.small,0.15,15.0,SPLADE,RR@10,0.275344749169963,0.2969339837176513,False
itn,dev.small,0.15,15.0,SPLADE,nDCG@10,0.3250524634423261,0.3525535290063942,False
itn,dev.small,0.15,15.0,SPLADE,R@100,0.7285100286532953,0.8166905444126075,False
itn,dev.small,0.15,15.0,TAS-B,RR@10,0.3182847250648104,0.3472977213808159,False
itn,dev.small,0.15,15.0,TAS-B,nDCG@10,0.3749439947290519,0.4106574638556805,False
itn,dev.small,0.15,15.0,TAS-B,R@100,0.7904727793696275,0.8869149952244508,False
itn,dev.small,0.3,30.0,BM25,RR@10,0.154604482194024,0.1842761631873379,False
itn,dev.small,0.3,30.0,BM25,nDCG@10,0.1885165305061544,0.2299347532023317,False
itn,dev.small,0.3,30.0,BM25,R@100,0.502901146131805,0.6777578796561604,False
itn,dev.small,0.3,30.0,SPLADE,RR@10,0.2373219970891886,0.2969339837176513,False
itn,dev.small,0.3,30.0,SPLADE,nDCG@10,0.2760918174498211,0.3525535290063942,False
itn,dev.small,0.3,30.0,SPLADE,R@100,0.5890878701050621,0.8166905444126075,False
itn,dev.small,0.3,30.0,TAS-B,RR@10,0.2720964660935996,0.3472977213808159,False
itn,dev.small,0.3,30.0,TAS-B,nDCG@10,0.3164069192327206,0.4106574638556805,False
itn,dev.small,0.3,30.0,TAS-B,R@100,0.6366881566380135,0.8869149952244508,False
itn,dev.small,0.45,45.0,BM25,RR@10,0.1302876699868108,0.1842761631873379,False
