scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,selected_metric,pruning_key,baseline_value,baseline_scorer,baseline_label,delta_value,retained
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6953445153513881,nDCG@10,15.0,0.6937247182640282,finetuned_qualt5,QualT5-Finetuned,0.001619797087359931,1.0023349277382148
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4955309606289416,nDCG@10,30.0,0.4996544494301745,finetuned_qualt5,QualT5-Finetuned,-0.004123488801232922,0.9917473189602625
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.577639686444579,nDCG@10,30.0,0.5782938777862627,finetuned_qualt5,QualT5-Finetuned,-0.000654191341683763,0.9988687562382849
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6768625625932118,nDCG@10,30.0,0.6795804993247979,finetuned_qualt5,QualT5-Finetuned,-0.002717936731586157,0.9960005669169634
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4823279274641097,nDCG@10,45.0,0.4894735090426124,finetuned_qualt5,QualT5-Finetuned,-0.007145581578502702,0.9854014947765424
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5639976012271303,nDCG@10,45.0,0.5662914699082666,finetuned_qualt5,QualT5-Finetuned,-0.0022938686811363462,0.995949314437832
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6565124773653148,nDCG@10,45.0,0.6614008480746695,finetuned_qualt5,QualT5-Finetuned,-0.004888370709354661,0.9926090649511795
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4685520450429626,nDCG@10,60.0,0.4698592256263194,finetuned_qualt5,QualT5-Finetuned,-0.0013071805833567707,0.9972179314312403
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5216666717847652,nDCG@10,60.0,0.5212256099225002,finetuned_qualt5,QualT5-Finetuned,0.000441061862265002,1.00084620144112
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6055607830072196,nDCG@10,60.0,0.602788613110302,finetuned_qualt5,QualT5-Finetuned,0.0027721698969176423,1.0045989088656033
