scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6756659504204786
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4859842189446481
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.7938430698739976
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.477645627600737
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,BM25,R@100,0.3958546894566455
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.867120765832106
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5663547252664968
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,SPLADE,R@100,0.3763165090814921
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9378988708885616
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6573965506610457
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.4330829899187412
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.7808419243986255
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4577304031407518
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,BM25,R@100,0.3441207812669642
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.8334192439862543
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5335436083130276
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.318483506548033
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.9286205203730976
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6177782342345907
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.3656681878956337
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.811377025036819
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5038975321939494
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4632351789195792
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8533055146457209
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5805667273280678
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4517742871910431
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9396170839469808
